key,en,de
nav.pricing,Pricing,Preise
nav.roadmap,Roadmap,Produktplan
nav.about,About,"Über Percy"
nav.getStarted,"Get started",Loslegen
hero.tagline,"Your AI Wingman for Conversions & Retention","Dein KI-Co-Pilot für mehr Conversions und zufriedenere Nutzer"
hero.headline,"Onboard. Support. Grow. All on Autopilot.","Begleiten. Unterstützen. Wachsen. Vollautomatisch."
hero.subheadline,"Percy is your in-product AI that guides users, drives adoption, and resolves issues — without human intervention.","Percy ist deine In-Product-KI, die Nutzer intelligent führt, die Nutzung steigert und Supportanfragen reduziert – ganz ohne menschliches Eingreifen."
hero.tryPercy,"Try for Free","Kostenlos testen"
hero.bookDemo,"Book a demo","Demo buchen"
footer.tagline,"Create better user journeys. Cut support costs. Accelerate product growth — all with Percy.","Bessere Nutzererlebnisse. Weniger Support. Schnelleres Wachstum – mit Percy."
footer.privacyPolicy,"Privacy Policy","Datenschutzerklärung"
footer.termsOfUse,"Terms of Use","Nutzungsbedingungen"
footer.copyright,"©Percy","© Percy"
languageSwitcher.en,English,English
languageSwitcher.de,Deutsch,Deutsch
features.tagline,"PRODUCT TOURS + USER GUIDANCE + USER FEEDBACK","PRODUKTTOUREN · NUTZERFÜHRUNG · FEEDBACK"
features.headline,"Effortlessly convert new users into loyal power users","Mache aus jedem neuen Nutzer einen Power-User – automatisch"
features.subheadline,"Whether it's onboarding or discovery, Percy handles the journey with laser-focused AI precision. Expect lower churn, happier users.","Von der Einführung bis zur Produktbeherrschung führt Percy mit intelligenter Automatisierung. Weniger Churn, mehr Engagement, begeisterte Nutzer."
productTours.tagline,"AI POWERED PRODUCT TOURS","INTERAKTIVE PRODUKTTOUREN"
productTours.headline,"Remove the roadblocks","Beseitige Hürden."
productTours.subheadline,"Turn complex interfaces into smooth, intuitive flows that boost confidence and drive engagement.","Komplexität wird zu Klarheit – mit Touren, die sich an Rolle und Verhalten anpassen."
feature1.title,"Cut support volume by 60% on day one","Supportvolumen um 60% senken"
feature1.description,"Smart onboarding removes guesswork and repetitive questions.","Intelligentes Onboarding eliminiert Unsicherheiten und wiederkehrende Fragen."
feature2.title,"Delight 90% of your users","90 % zufriedenere Nutzer"
feature2.description,"Step-by-step guidance boosts confidence and satisfaction.","Geführte Abläufe stärken Vertrauen und Zufriedenheit."
feature3.title,"Boost feature engagement by 75%","Funktionennutzung um 75% steigern"
feature3.description,"Empower users to discover and use more — independently.","Ermögliche Nutzern eigenständige Entdeckungen und Nutzung."
contextualHelp.tagline,"BUILT-IN HELP","EINGEBAUTE HILFE"
contextualHelp.headline,"No more dead ends.","Keine Sackgassen mehr."
contextualHelp.subheadline,"Deliver instant, contextual answers directly inside your app — no more tickets.","Kontextbezogene Antworten direkt in der App – ohne Wartezeiten oder Tickets."
userInsights.tagline,"REAL-TIME FEEDBACK","ECHTZEIT FEEDBACK"
userInsights.headline,"Understand users better — faster.","Nutzer schneller besser verstehen."
userInsights.subheadline,"Collect in-the-moment feedback that reveals emotions, pain points, and intent.","Feedback im Moment der Nutzung aufzeichnen – für echte Einblicke in Emotionen und Intentionen."
userFeedback.tagline,"USER INSIGHTS","NUTZERINSIGHTS"
userFeedback.headline,"Ask when it matters. Learn what matters.","Fragen, wenn es zählt. Lernen, was zählt."
userFeedback.subheadline,"Trigger the right questions at the right time — and get insights that drive smarter decisions.","Stelle die richtigen Fragen zum richtigen Zeitpunkt – und gewinne Einblicke, die Entscheidungen verbessern."
userFeedback.nps,"NPS score","NPS‑Score"
featureAnnouncements.tagline,"FEATURE ANNOUNCEMENTS","FEATURE‑ANKÜNDIGUNGEN"
featureAnnouncements.headline,"Launch smarter. Drive adoption.","Clever launchen. Nutzung steigern."
featureAnnouncements.subheadline,"Announce what's new, prompt discovery, and guide users right when it matters.","Updates gezielt ankündigen, Entdeckungen auslösen und Nutzer im richtigen Moment leiten."
featureAnnouncements.description,"Show what's new right when it's relevant","Zeigen Sie Neues genau dann, wenn es relevant ist"
flowDiagram.button1,"Show'em","Zeig's ihnen"
flowDiagram.button2,"Nudge'em","Stups' sie an"
flowDiagram.button3,"Guide'em","Führ' sie weiter"
card1.title,"Interactive product tours","Interaktive Produkttouren"
card1.description,"Personalized guidance based on user roles and needs for a seamless experience","Personalisierte Führung nach Rolle und Bedarf – für ein reibungsloses Erlebnis."
card2.title,"Onboarding checklists","Onboarding‑Checklisten"
card2.description,"Step-by-step checklists tailored to user roles ensure high activation and completion.","Schritt-für-Schritt-Checklisten passend zur Nutzerrolle – für maximale Aktivierung und Abschluss."
spotlightSearch.tagline,"SPOTLIGHT SEARCH","SPOTLIGHT‑SUCHE"
spotlightSearch.headline,"Search that feels like magic","Suchen, als wär's Magie"
spotlightSearch.subheadline,"Let users instantly find answers across help, features, and docs — with natural language search.","Nutzer finden sofort Antworten in Hilfe, Features und Dokus – dank natürlicher Sprachsuche."
testimonial1.headline,"Intuitive, Organized, and a Joy to Use","Intuitiv, übersichtlich und eine Freude in der Nutzung"
testimonial1.quote,"Percy is intuitive, beautiful, and makes organizing content a breeze. My team loves it.","Percy ist intuitiv, schön gestaltet und macht die Organisation von Inhalten zum Kinderspiel. Mein Team liebt es."
testimonial1.name,"Rainer Wilmers","Rainer Wilmers"
testimonial1.title,"CEO · AC Group","CEO · AC Group"
testimonial2.headline,"Pure Magic!","Pure Magie für 24/7 Teams"
testimonial2.quote,"Percy transformed our support operations overnight. No more 24/7 stress — it just works.","Percy hat unseren Support über Nacht revolutioniert. Kein 24/7-Stress mehr – es funktioniert einfach."
testimonial2.name,"Juergen Thom","Juergen Thom"
testimonial2.title,"CSO · IVoiceAI","CSO · IVoiceAI"
developer.badge,"Hello engineers, we don't take up your time","Hey Entwickler, wir verschwenden eure Zeit nicht"
developer.headline,"Lightweight. Fast. Live in 5 minutes.","Ressourcenschonend, in 5 Minuten integriert"
developer.subheadline,"It's not written by marketing, just install our package, set few variables and that's it. A Promise by our developers to yours.","Einfach Paket installieren, Variablen setzen, loslegen. Minimaler Aufwand, maximale Wirkung. Entwickler-Ehrenwort."
